Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
88,Arminia,de GER,17,34,5,13,16,27,53,-26,28,0.82,26.3,62.8,-36.6,-1.08,16773,Masaya Okugawa - 8,Stefan Ortega
89,Metz,fr FRA,19,38,6,13,19,35,69,-34,31,0.82,29.2,62.5,-33.4,-0.88,14876,Nicolas de Préville - 5,Alexandre Oukidja
90,Alavés,es ESP,20,38,8,7,23,31,65,-34,31,0.82,37.3,57.0,-19.7,-0.52,10952,Joselu - 14,Fernando Pacheco
91,Bordeaux,fr FRA,20,38,6,13,19,52,91,-39,31,0.82,44.9,66.8,-21.9,-0.58,22141,Hwang Ui-jo - 11,Benoît Costil
92,Salernitana,it ITA,17,38,7,10,21,33,78,-45,31,0.82,36.5,65.2,-28.7,-0.76,15073,Federico Bonazzoli - 10,Vid Belec
93,Cagliari,it ITA,18,38,6,12,20,34,68,-34,30,0.79,39.0,61.0,-21.9,-0.58,9718,João Pedro - 13,Alessio Cragno
94,Genoa,it ITA,19,38,4,16,18,27,60,-33,28,0.74,37.2,54.1,-16.9,-0.44,12326,Mattia Destro - 9,Salvatore Sirigu
95,Venezia,it ITA,20,38,6,9,23,34,69,-35,27,0.71,36.5,71.8,-35.3,-0.93,6648,Thomas Henry - 9,Niki Mäenpää
96,Watford,eng ENG,19,38,6,5,27,34,77,-43,23,0.61,40.0,64.5,-24.5,-0.64,20614,Emmanuel Dennis - 10,Ben Foster
97,Norwich City,eng ENG,20,38,5,7,26,23,84,-61,22,0.58,32.3,75.5,-43.2,-1.14,26836,Teemu Pukki - 11,Tim Krul
98,Greuther Fürth,de GER,18,34,3,9,22,28,82,-54,18,0.53,30.0,60.2,-30.2,-0.89,7672,Branimir Hrgota - 9,Sascha Burchert
